Wellenlaenge;Silizium
2.50007425220529;-0.0625
2.49992359608509;-0.111111111111111
2.49977295187221;-0.176470588235294
2.49962232581374;-0.230769230769231
2.49947171790638;-0.222222222222222
2.49932112814687;0
2.49917055653192;2
2.49902000930335;-0.5
2.49886947396694;-0.153846153846154
2.49871895676525;0
2.49856845769501;0.166666666666667
2.49841797675294;0.8
2.49826751393577;4
2.49811707548082;4
2.49796664890288;1.25
2.49781624044001;0.666666666666667
2.49766585008895;0.5
2.49751547784643;0.368421052631579
2.49736512370917;0.291666666666667
2.49721479390998;0.260869565217391
2.49706447597269;0.333333333333333
2.49691417613086;0.416666666666667
2.49676389438121;0.4
2.49661363072049;0.142857142857143
2.49646338514543;0.0454545454545455
2.49631316388434;0.04
2.49616295447005;0.0434782608695652
2.49601276313163;0.105263157894737
2.49586258986581;0.176470588235294
2.49571243466933;0.2
2.49556229753893;0.173913043478261
2.49541218469843;0.136363636363636
2.49526208368966;0.111111111111111
2.4951120007372;0.0769230769230769
2.49496193583777;0
2.49481188898814;0
2.49466186018503;0.111111111111111
